area,region,positive,positiveJH,deaths,deathsJH,pop,cdr,cdrJH
New Jersey,United States,187164,187164,15903,15903,8882190,179.04368179469253,179.04368179469253
New York,United States,424167,424167,25232,32827,19453561,129.7037596355752,168.74545488098553
Massachusetts,United States,122531,122531,8804,8804,6892503,127.73298756634564,127.73298756634564
Connecticut,United States,50897,50897,4453,4453,3565287,124.89878093965507,124.89878093965507
San Marino,Southern Europe,699,,42,,34000,123.52941176470588,
Rhode Island,United States,20335,20335,1021,1021,1059361,96.37885480020502,96.37885480020502
Louisiana,United States,136737,136737,4430,4430,4648794,95.29353204293415,95.29353204293415
Belgium,Western Europe,77113,,9924,,11590000,85.62553925798102,
District of Columbia,United States,13118,13118,594,594,705749,84.16590034133948,84.16590034133948
Peru,South America,516296,,25856,,32972000,78.41805168021351,
United Kingdom,Northern Europe,315621,,46791,,67886000,68.92584627169077,
Andorra,Southern Europe,989,,53,,77000,68.83116883116882,
Mississippi,United States,70930,70930,2043,2043,2976149,68.64575664726463,68.64575664726463
Michigan,United States,100724,100724,6566,6566,9986857,65.74641050732978,65.74641050732978
Illinois,United States,204023,204023,7932,7932,12671821,62.595581171798436,62.595581171798436
Spain,Southern Europe,342813,,28617,,46755000,61.20628809752967,
Delaware,United States,16340,16340,593,593,973764,60.897712382055616,60.897712382055616
Arizona,United States,191721,191721,4423,4423,7278717,60.76620371419854,60.76620371419854
Maryland,United States,98875,98875,3631,3631,6045680,60.05941432560109,60.05941432560109
Italy,Southern Europe,252809,,35234,,60462000,58.27461876881347,
Pennsylvania,United States,122950,127732,7445,7434,12801989,58.15502575420116,58.06910160600825
Sweden,Northern Europe,84294,,5783,,10099000,57.263095355975835,
Chile,South America,382111,,10340,,19116000,54.09081397781963,
Brazil,South America,3226443,,105490,,212559000,49.62857371365127,
France,Western Europe,249655,,30410,,65274000,46.588228084689156,
Indiana,United States,78632,78632,3113,3113,6732219,46.240325812336174,46.240325812336174
Mexico,Central America,511369,,55908,,128933000,43.36205626177937,
Florida,United States,563285,563285,9276,9141,21477737,43.188907658195085,42.560349817115274
Georgia,United States,231895,231895,4573,4573,10617423,43.070714993647705,43.070714993647705
South Carolina,United States,104841,104841,2204,2204,5148714,42.80680573828727,42.80680573828727
Panama,Central America,79402,,1734,,4315000,40.18539976825029,
Alabama,United States,106309,106309,1893,1893,4903185,38.60755814842801,38.60755814842801
Netherlands,Western Europe,63127,,6189,,17135000,36.1190545666764,
Ireland,Northern Europe,26995,,1774,,4938000,35.925475901174565,
Ecuador,South America,99409,,6030,,17643000,34.177860908008846,
Nevada,United States,59749,59749,1045,1045,3080156,33.9268530554946,33.9268530554946
New Mexico,United States,22987,23160,697,703,2096829,33.24066960157457,33.526815968302614
